Product,Type,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,Perf_per_Watt
NVIDIA GeForce GT 720M,GPU,28.0,33.0,87.0,1020.0,719.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,51.95454545454545
AMD FirePro S7100X,GPU,28.0,100.0,366.0,5000.0,725.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,17.145
NVIDIA Quadro 4000,GPU,40.0,142.0,529.0,3100.0,475.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,12.07394366197183
AMD Radeon HD 8860 OEM,GPU,28.0,175.0,212.0,2800.0,925.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.797142857142857
NVIDIA GeForce 8800 GTS 640,GPU,90.0,143.0,484.0,681.0,513.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,11.98951048951049
NVIDIA Tesla K20m,GPU,28.0,225.0,561.0,7080.0,706.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.62
AMD Radeon HD 6250 IGP,GPU,40.0,7.0,75.0,450.0,276.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,244.92857142857142
NVIDIA Quadro NVS 135M,GPU,80.0,10.0,127.0,210.0,400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,171.45
Intel Xeon Phi 7120P,GPU,22.0,300.0,350.0,5000.0,1238.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
NVIDIA GeForce RTX 2080 SUPER Mobile,GPU,12.0,150.0,545.0,13600.0,1365.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,11.43
NVIDIA Jetson TX1 GPU,GPU,20.0,15.0,118.0,2000.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
AMD Radeon R7 M260X,GPU,28.0,65.0,77.0,950.0,620.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce GT 1030,GPU,14.0,30.0,74.0,1800.0,1228.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,57.15
AMD Radeon R5 M230 Rebrand,GPU,28.0,65.0,56.0,690.0,780.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce FX 5900 Ultra,GPU,130.0,59.0,207.0,135.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,29.059322033898304
ATI Mobility Radeon HD 5670 Mac Edition,GPU,40.0,15.0,104.0,627.0,650.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
AMD Radeon HD 7340 IGP,GPU,40.0,18.0,75.0,450.0,523.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,95.25
AMD Radeon RX 460 Mobile,GPU,14.0,55.0,123.0,3000.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.172727272727272
NVIDIA Quadro 1000M,GPU,40.0,45.0,116.0,585.0,700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD Radeon Vega 8 Mobile,GPU,7.0,45.0,156.0,9800.0,300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
NVIDIA Quadro FX 4400,GPU,130.0,83.0,287.0,222.0,375.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.656626506024097
ATI Radeon HD 2400 PRO PCI,GPU,65.0,20.0,85.0,180.0,525.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,85.725
NVIDIA GeForce 6800 GT,GPU,130.0,67.0,287.0,222.0,350.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,25.58955223880597
NVIDIA Quadro FX 4400G,GPU,130.0,83.0,287.0,222.0,375.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.656626506024097
NVIDIA GeForce RTX 2060,GPU,12.0,160.0,445.0,10800.0,1365.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,10.715625
ATI Radeon HD 5670 640SP Edition,GPU,40.0,64.0,166.0,1040.0,750.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.7890625
ATI FirePro V3800,GPU,40.0,43.0,104.0,627.0,650.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,39.872093023255815
NVIDIA GRID K200,GPU,28.0,225.0,294.0,3540.0,745.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.62
Intel Extreme Graphics 2,GPU,130.0,65.0,148.0,624.0,200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon Pro 450,GPU,14.0,35.0,123.0,3000.0,800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
ATI Mobility Radeon HD 2700,GPU,65.0,35.0,153.0,390.0,700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
ATI Mobility Radeon HD 3850,GPU,55.0,35.0,192.0,666.0,580.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel HD Graphics P4000,GPU,22.0,45.0,133.0,1200.0,650.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD Radeon Graphics 384SP,GPU,7.0,15.0,156.0,9800.0,400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
Intel Iris Pro Graphics 5200,GPU,22.0,30.0,148.0,624.0,200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,57.15
ATI Radeon HD 5770,GPU,40.0,108.0,166.0,1040.0,850.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,15.875
NVIDIA Quadro FX 3500,GPU,90.0,80.0,196.0,278.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
AMD Radeon HD 7950 Monica BIOS 1,GPU,28.0,185.0,352.0,4313.0,925.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.267567567567568
AMD Radeon R7 260,GPU,28.0,95.0,160.0,2080.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
NVIDIA GeForce GT 120M Mac Edition,GPU,55.0,14.0,121.0,314.0,500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,122.46428571428571
ATI Radeon 8500 X4,GPU,150.0,92.0,120.0,60.0,250.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.63586956521739
NVIDIA GeForce GTX 460 v2,GPU,40.0,160.0,332.0,1950.0,779.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,10.715625
NVIDIA GeForce 7050 + nForce 620i,GPU,90.0,65.0,81.0,112.0,500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce 840M,GPU,28.0,33.0,148.0,624.0,1029.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,51.95454545454545
Intel HD Graphics,GPU,22.0,45.0,148.0,624.0,200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD Radeon Pro V520,GPU,7.0,225.0,148.0,624.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.62
NVIDIA GeForce4 MX 420 PCI,GPU,150.0,65.0,65.0,29.0,250.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce 6200 TurboCache,GPU,110.0,65.0,110.0,75.0,350.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD FirePro M8900,GPU,40.0,75.0,212.0,1700.0,680.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
AMD Radeon HD 8250 IGP,GPU,28.0,8.0,110.0,1178.0,300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,214.3125
Intel H3C XG310,GPU,10.0,300.0,77.0,624.0,900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
AMD Radeon HD 6630M Mac Edition,GPU,40.0,26.0,104.0,716.0,500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,65.9423076923077
AMD Radeon R9 M275,GPU,28.0,65.0,123.0,1500.0,900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Mobility Radeon HD 4100 IGP,GPU,55.0,65.0,67.0,181.0,400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA Quadro FX 600 PCI,GPU,150.0,65.0,124.0,45.0,270.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Radeon HD 3850,GPU,55.0,75.0,192.0,666.0,668.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
NVIDIA Quadro P400,GPU,14.0,30.0,132.0,3300.0,1228.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,57.15
ATI Radeon 9800,GPU,150.0,37.0,215.0,117.0,325.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,46.33783783783784
NVIDIA Quadro 7000,GPU,40.0,204.0,520.0,3000.0,651.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,8.404411764705882
ATI All-In-Wonder X800 SE,GPU,130.0,65.0,281.0,160.0,425.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Radeon HD 2600 XT,GPU,65.0,45.0,153.0,390.0,800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
Intel HD Graphics 400,GPU,14.0,6.0,148.0,624.0,320.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,285.75
Intel GMA X4500MHD,GPU,65.0,13.0,148.0,624.0,533.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,131.8846153846154
ATI Radeon 9200 PRO,GPU,150.0,28.0,98.0,36.0,240.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,61.232142857142854
ATI FireMV 2200,GPU,110.0,15.0,74.0,107.0,324.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
ATI Radeon X700 PRO,GPU,110.0,33.0,156.0,120.0,425.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,51.95454545454545
ATI Mobility FireGL V3100,GPU,110.0,65.0,74.0,107.0,350.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon HD 6850 X2,GPU,40.0,254.0,255.0,1700.0,800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.75
AMD Radeon HD 7970 GHz Edition,GPU,28.0,300.0,352.0,4313.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
ATI Mobility Radeon X1350,GPU,80.0,65.0,100.0,107.0,419.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon E9172 MXM,GPU,14.0,35.0,103.0,2200.0,1124.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Radeon HD 8280 IGP,GPU,28.0,15.0,110.0,1178.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
NVIDIA Tesla T4,GPU,12.0,70.0,545.0,13600.0,585.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,24.492857142857144
Intel HD Graphics P530,GPU,14.0,15.0,123.0,624.0,350.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
ATI Radeon HD 5670,GPU,40.0,64.0,104.0,627.0,775.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.7890625
ATI Radeon 9700 PRO X4,GPU,150.0,65.0,215.0,110.0,325.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Radeon X800 XT Platinum AGP,GPU,130.0,63.0,281.0,160.0,520.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,27.214285714285715
ATI Radeon X600 PRO,GPU,110.0,36.0,74.0,107.0,400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,47.625
NVIDIA Quadro K4200,GPU,28.0,108.0,294.0,3540.0,771.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,15.875
NVIDIA GeForce FX 5200 Rev. 2,GPU,150.0,65.0,91.0,45.0,250.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon HD 7370M,GPU,40.0,11.0,59.0,292.0,750.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,155.86363636363637
NVIDIA GeForce 6800,GPU,130.0,65.0,287.0,222.0,325.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce Go 7400T,GPU,90.0,65.0,81.0,112.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Radeon HD 5970,GPU,40.0,294.0,334.0,2154.0,725.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.831632653061225
NVIDIA GeForce FX 5950 Ultra,GPU,130.0,74.0,207.0,135.0,475.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,23.16891891891892
AMD Radeon R5 240 OEM,GPU,28.0,50.0,77.0,950.0,730.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,34.29
NVIDIA Quadro FX 470,GPU,65.0,38.0,144.0,314.0,580.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,45.11842105263158
NVIDIA GeForce GTX 750 Ti,GPU,28.0,60.0,148.0,1870.0,1020.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,28.575
NVIDIA Tesla P100 PCIe 12 GB,GPU,16.0,250.0,610.0,15300.0,1190.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.858
NVIDIA GeForce GTX 950A,GPU,28.0,75.0,148.0,1870.0,993.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
AMD Radeon R2 Mobile Graphics,GPU,28.0,15.0,125.0,1200.0,200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
AMD Radeon 540X Mobile,GPU,14.0,50.0,103.0,2200.0,980.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,34.29
NVIDIA GeForce Go 7800,GPU,110.0,35.0,333.0,302.0,400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Matrox Millennium G450 x2 MMS,GPU,180.0,65.0,148.0,10.0,125.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon R8 M365DX,GPU,28.0,65.0,125.0,1550.0,900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon R9 380 OEM,GPU,28.0,190.0,366.0,5000.0,918.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.023684210526316
NVIDIA ION LE,GPU,65.0,20.0,162.0,282.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,85.725
AMD Playstation 4 Slim GPU,GPU,16.0,75.0,209.0,624.0,800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
NVIDIA GeForce 6800 GTO,GPU,130.0,65.0,287.0,222.0,350.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon HD 6870 1600SP Edition,GPU,40.0,175.0,334.0,2154.0,850.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.797142857142857
NVIDIA Quadro Plex 1000 Model IV,GPU,90.0,320.0,484.0,681.0,600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.3578125
NVIDIA GRID K100,GPU,28.0,130.0,118.0,1270.0,850.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
ATI Radeon IGP 340,GPU,180.0,65.0,73.0,30.0,183.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Mobility FireGL V5600,GPU,65.0,65.0,153.0,390.0,500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce GTS 450 OEM,GPU,40.0,106.0,238.0,1170.0,783.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,16.17452830188679
NVIDIA A100 SXM4 80 GB,GPU,7.0,400.0,826.0,54200.0,1095.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,4.28625
ATI Mobility Radeon HD 4330,GPU,55.0,65.0,73.0,242.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon RX 640 Mobile,GPU,14.0,50.0,103.0,2200.0,1082.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,34.29
Sony Playstation Portable GPU 65nm,GPU,65.0,4.0,148.0,624.0,133.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,428.625
NVIDIA Quadro FX 350M,GPU,90.0,15.0,81.0,112.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
NVIDIA GeForce 6800 XT,GPU,130.0,65.0,287.0,222.0,300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce 9300 GS,GPU,65.0,65.0,86.0,210.0,567.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon R9 M295X,GPU,28.0,250.0,366.0,5000.0,723.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.858
NVIDIA Quadro RTX 3000 Mobile Refresh,GPU,12.0,80.0,445.0,10800.0,945.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
NVIDIA Tesla C2070,GPU,40.0,238.0,529.0,3100.0,574.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.203781512605042
ATI All-In-Wonder HD 3650,GPU,55.0,55.0,135.0,378.0,722.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.172727272727272
AMD Radeon HD 7990,GPU,28.0,375.0,365.0,4313.0,950.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,4.572
NVIDIA Quadro RTX 6000 Passive,GPU,12.0,260.0,754.0,18600.0,1305.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.594230769230769
AMD Radeon RX 560 Mobile,GPU,14.0,55.0,123.0,3000.0,784.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.172727272727272
ATI ES1000,GPU,180.0,65.0,80.0,8.0,200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Mobility Radeon HD 5770,GPU,40.0,30.0,104.0,627.0,650.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,57.15
Intel Xe Arctic Sound,GPU,10.0,500.0,190.0,8000.0,900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,3.429
NVIDIA Quadro RTX 5000,GPU,12.0,230.0,545.0,13600.0,1620.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.4543478260869565
NVIDIA GeForce 830A,GPU,28.0,33.0,148.0,624.0,1082.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,51.95454545454545
NVIDIA GeForce GTX 1060 3 GB,GPU,16.0,120.0,200.0,4400.0,1506.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,14.2875
ATI Radeon X1550 PCI,GPU,80.0,27.0,100.0,107.0,452.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,63.5
ATI Radeon HD 5870 Mac Edition,GPU,40.0,228.0,334.0,2154.0,850.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.519736842105263
NVIDIA GeForce 920MX,GPU,28.0,16.0,148.0,624.0,965.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,107.15625
NVIDIA Quadro K6000,GPU,28.0,225.0,561.0,7080.0,797.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.62
NVIDIA GeForce2 MX 200 PCI,GPU,180.0,65.0,64.0,20.0,175.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon HD 7470A,GPU,40.0,18.0,104.0,627.0,775.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,95.25
AMD Radeon R5 310 OEM,GPU,40.0,35.0,67.0,370.0,775.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
NVIDIA GeForce 8400 GS PCI,GPU,65.0,25.0,86.0,210.0,567.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
NVIDIA GeForce GTX TITAN X,GPU,28.0,250.0,601.0,8000.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.858
AMD Radeon HD 6430M,GPU,40.0,65.0,67.0,370.0,480.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce 9800 GTX+,GPU,55.0,141.0,260.0,754.0,738.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,12.159574468085106
NVIDIA Quadro2 MXR,GPU,180.0,65.0,64.0,20.0,200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce 310M,GPU,40.0,14.0,57.0,260.0,625.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,122.46428571428571
NVIDIA GeForce 8600 GTS,GPU,80.0,60.0,169.0,289.0,675.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,28.575
NVIDIA GeForce GT 220,GPU,65.0,58.0,240.0,505.0,600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,29.560344827586206
Matrox Parhelia HR256,GPU,150.0,65.0,174.0,80.0,200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon HD 6490M Mac Edition,GPU,40.0,65.0,67.0,370.0,750.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel UHD Graphics P750,GPU,14.0,15.0,148.0,624.0,300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
NVIDIA GeForce 8400M GT,GPU,80.0,14.0,127.0,210.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,122.46428571428571
NVIDIA GeForce GTX 1060 6 GB 9Gbps,GPU,16.0,120.0,200.0,4400.0,1506.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,14.2875
AMD Radeon R7 450 OEM,GPU,28.0,65.0,123.0,1500.0,925.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Mobility Radeon HD 5470,GPU,40.0,15.0,59.0,292.0,750.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
AMD Radeon HD 6610M,GPU,40.0,26.0,104.0,716.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,65.9423076923077
NVIDIA GeForce GT 520 OEM,GPU,40.0,29.0,116.0,585.0,700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,59.12068965517241
AMD Radeon R9 M395X Mac Edition,GPU,28.0,250.0,366.0,5000.0,909.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.858
AMD Radeon Pro SSG,GPU,14.0,260.0,495.0,12500.0,1440.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.594230769230769
NVIDIA GeForce GTX 570M,GPU,40.0,75.0,332.0,1950.0,575.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
ATI Radeon HD 3730,GPU,55.0,65.0,135.0,378.0,722.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA P106M,GPU,16.0,75.0,200.0,4400.0,1291.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
NVIDIA GeForce G105M,GPU,40.0,14.0,57.0,260.0,535.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,122.46428571428571
NVIDIA GRID RTX T10-16,GPU,12.0,260.0,754.0,18600.0,1065.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.594230769230769
NVIDIA GeForce GT 640M,GPU,28.0,32.0,118.0,1270.0,625.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,53.578125
ATI Radeon HD 4550,GPU,55.0,25.0,73.0,242.0,600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
NVIDIA GeForce GTX 780M,GPU,28.0,122.0,294.0,3540.0,771.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,14.05327868852459
ATI Radeon 8500 LE,GPU,150.0,23.0,120.0,60.0,250.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,74.54347826086956
AMD Radeon E6760 MXM,GPU,40.0,45.0,118.0,716.0,600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD FirePro W7100,GPU,28.0,150.0,366.0,5000.0,920.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,11.43
NVIDIA GeForce 6200,GPU,110.0,65.0,154.0,146.0,300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA Quadro K3000M,GPU,28.0,75.0,294.0,3540.0,654.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
NVIDIA GeForce GTX 660M Mac Edition,GPU,28.0,50.0,118.0,1270.0,950.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,34.29
NVIDIA GeForce 9600M GT Mac Edition,GPU,55.0,23.0,121.0,314.0,500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,74.54347826086956
NVIDIA GeForce GTX 275 PhysX Edition,GPU,40.0,219.0,470.0,1400.0,633.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.828767123287672
AMD Radeon 520 Mobile,GPU,28.0,50.0,56.0,690.0,1030.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,34.29
NVIDIA GeForce 710M,GPU,28.0,15.0,87.0,1020.0,719.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
AMD Radeon HD 8950M,GPU,28.0,100.0,160.0,2080.0,1075.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,17.145
ATI Radeon Xpress 1150 Mobile IGP,GPU,110.0,65.0,73.0,624.0,400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon R7 M465,GPU,28.0,65.0,125.0,1550.0,1100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Radeon X1600 XT,GPU,90.0,42.0,150.0,157.0,590.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,40.82142857142857
NVIDIA ION HX,GPU,65.0,20.0,162.0,282.0,450.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,85.725
AMD Radeon RX 6600 XT,GPU,7.0,180.0,236.0,624.0,1489.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.525
NVIDIA GeForce 7500 LE,GPU,90.0,65.0,81.0,112.0,475.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Mobility Radeon 9550,GPU,130.0,65.0,92.0,76.0,250.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
ATI Radeon HD 3300 IGP,GPU,65.0,65.0,85.0,180.0,500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Radeon HD 8730M,GPU,28.0,65.0,77.0,950.0,650.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA GeForce GTX 670MX,GPU,28.0,75.0,294.0,3540.0,601.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
AMD Radeon E8950,GPU,28.0,95.0,366.0,5000.0,735.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Radeon R4 Mobile Graphics,GPU,28.0,17.0,245.0,2410.0,533.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,100.8529411764706
NVIDIA GeForce GTX 1070 Ti,GPU,16.0,180.0,314.0,7200.0,1607.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.525
NVIDIA GeForce 6200 LE,GPU,110.0,65.0,110.0,75.0,350.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
NVIDIA NVS 810,GPU,28.0,68.0,148.0,1870.0,902.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,25.21323529411765
AMD Radeon Pro 555X,GPU,14.0,75.0,123.0,3000.0,907.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.86
NVIDIA Quadro P5200 Max-Q,GPU,16.0,100.0,314.0,7200.0,1316.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,17.145
